               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.04321,            0.024882,            0.035772,             0.31618,             0.55081,              0.2124,             0.11662,            0.016327,           0.0044457,            0.016306,            0.070236,           0.0033071,           0.0033071
                   1,            0.026604,            0.013194,            0.032005,             0.16697,             0.35266,             0.24642,             0.14671,            0.013678,            0.002662,            0.016356,            0.040105,           0.0065089,           0.0065089
                   2,            0.022922,             0.01074,            0.029031,             0.44353,             0.57474,             0.38659,             0.25978,            0.013994,           0.0020328,             0.01456,           0.0098413,           0.0095788,           0.0095788
                   3,             0.01944,           0.0095802,            0.027321,             0.56747,             0.59774,             0.51392,             0.49807,           0.0090658,           0.0016874,             0.01347,            0.009406,            0.009406,            0.009406
                   4,            0.016604,           0.0085135,            0.026631,             0.61091,             0.60815,             0.54505,             0.51396,           0.0073639,           0.0015435,            0.011779,            0.009406,            0.009406,            0.009406
                   5,            0.014021,           0.0078814,            0.024985,             0.63948,             0.54963,             0.59676,             0.47123,           0.0061325,           0.0013731,            0.013175,            0.009208,            0.009208,            0.009208
                   6,            0.012635,            0.007449,            0.024699,             0.36559,             0.52136,             0.46801,             0.46739,            0.017283,             0.00125,            0.017822,             0.00901,             0.00901,             0.00901
                   7,            0.011721,           0.0068255,            0.023427,             0.69051,             0.60489,             0.67227,             0.61753,           0.0030479,           0.0017407,            0.010827,            0.008812,            0.008812,            0.008812
                   8,            0.010622,           0.0066255,            0.023292,             0.76002,             0.70514,             0.73475,             0.72559,           0.0048523,            0.001106,           0.0084369,            0.008614,            0.008614,            0.008614
                   9,           0.0098829,           0.0062555,            0.022171,             0.73201,             0.66905,             0.69065,             0.66332,           0.0023286,           0.0012939,           0.0097263,            0.008416,            0.008416,            0.008416
                  10,           0.0092133,            0.005794,            0.021363,              0.7595,             0.63415,              0.7254,             0.72183,           0.0031704,           0.0011236,           0.0099504,            0.008218,            0.008218,            0.008218
                  11,           0.0086452,           0.0055541,            0.020454,              0.5752,             0.66208,             0.60941,             0.55352,           0.0035187,           0.0012726,            0.012634,             0.00802,             0.00802,             0.00802
                  12,           0.0087086,           0.0056554,            0.020399,             0.78159,              0.7026,             0.74931,              0.7026,           0.0041338,            0.001004,           0.0080498,            0.007822,            0.007822,            0.007822
                  13,           0.0088269,           0.0053778,            0.019846,             0.84615,              0.6428,             0.80949,              0.7874,            0.002954,           0.0012127,           0.0079205,            0.007624,            0.007624,            0.007624
                  14,           0.0082445,           0.0049743,             0.02009,             0.78853,             0.67515,             0.78404,             0.69774,           0.0044442,           0.0015871,           0.0073531,            0.007426,            0.007426,            0.007426
                  15,           0.0074749,            0.004753,            0.018941,             0.79059,             0.66085,             0.75877,             0.75681,           0.0022118,           0.0013238,           0.0083204,            0.007228,            0.007228,            0.007228
                  16,           0.0076354,           0.0049776,            0.019634,             0.81104,             0.63144,             0.82688,             0.81411,           0.0028274,          0.00083912,           0.0080747,             0.00703,             0.00703,             0.00703
                  17,           0.0072431,           0.0048249,            0.018257,             0.65254,              0.8488,             0.83705,               0.711,           0.0041959,           0.0010943,           0.0065758,            0.006832,            0.006832,            0.006832
                  18,             0.00696,           0.0045609,            0.018298,             0.86628,             0.65147,             0.81664,             0.71302,           0.0044033,           0.0013556,           0.0072224,            0.006634,            0.006634,            0.006634
                  19,           0.0066861,           0.0046482,            0.017864,             0.72182,             0.76384,             0.81165,             0.77319,           0.0029638,            0.001488,           0.0070745,            0.006436,            0.006436,            0.006436
                  20,           0.0065584,           0.0044819,            0.017817,             0.79131,             0.74987,             0.83572,             0.82946,           0.0017418,           0.0010122,           0.0072178,            0.006238,            0.006238,            0.006238
                  21,            0.006618,           0.0044489,            0.018022,             0.66795,             0.80088,             0.85073,              0.8442,           0.0028702,           0.0013972,           0.0061006,             0.00604,             0.00604,             0.00604
                  22,           0.0061954,           0.0042855,            0.018005,             0.61793,             0.74573,             0.77723,             0.76701,           0.0018969,          0.00098684,            0.010426,            0.005842,            0.005842,            0.005842
                  23,           0.0058829,           0.0043498,            0.017438,             0.75728,             0.81018,             0.85947,             0.85685,           0.0014236,            0.001183,           0.0055993,            0.005644,            0.005644,            0.005644
                  24,           0.0062751,           0.0041765,            0.017837,              0.8121,             0.79661,             0.87936,             0.83659,            0.002637,           0.0011476,           0.0057901,            0.005446,            0.005446,            0.005446
                  25,           0.0057177,           0.0041022,            0.016193,             0.85589,              0.7199,             0.85034,             0.79837,           0.0032708,           0.0012198,           0.0065466,            0.005248,            0.005248,            0.005248
                  26,            0.005604,           0.0040877,            0.016432,             0.85305,             0.75738,             0.87498,             0.85535,           0.0019716,           0.0011239,           0.0055833,             0.00505,             0.00505,             0.00505
                  27,           0.0051087,           0.0039162,            0.015508,             0.75806,             0.78393,             0.84422,             0.83883,           0.0016514,           0.0012215,           0.0063269,            0.004852,            0.004852,            0.004852
                  28,           0.0056864,           0.0039344,            0.015419,              0.7766,             0.80895,             0.86881,             0.81895,           0.0022811,           0.0015005,           0.0059625,            0.004654,            0.004654,            0.004654
                  29,           0.0051713,           0.0039368,            0.016469,             0.85647,             0.83229,             0.90359,             0.90162,           0.0018375,            0.001366,            0.005486,            0.004456,            0.004456,            0.004456
                  30,           0.0049618,             0.00393,            0.015107,             0.79174,             0.91731,             0.93075,             0.89167,           0.0020776,           0.0012692,            0.004344,            0.004258,            0.004258,            0.004258
                  31,           0.0049717,           0.0037452,            0.014069,             0.77179,             0.81536,             0.88083,             0.85216,           0.0022436,          0.00088081,            0.005339,             0.00406,             0.00406,             0.00406
                  32,           0.0044701,           0.0037065,            0.014365,             0.83019,             0.88961,             0.94111,             0.92611,           0.0018163,           0.0012255,           0.0040429,            0.003862,            0.003862,            0.003862
                  33,           0.0047367,           0.0035983,            0.015059,             0.86311,             0.84576,             0.92224,             0.91572,           0.0014755,           0.0011355,           0.0038321,            0.003664,            0.003664,            0.003664
                  34,           0.0046934,           0.0036008,            0.014527,              0.8986,              0.8398,             0.93942,             0.93845,            0.001325,          0.00097334,            0.004079,            0.003466,            0.003466,            0.003466
                  35,           0.0038953,           0.0034068,            0.013335,             0.78707,             0.88802,             0.91348,             0.91207,           0.0013615,           0.0014499,           0.0048245,            0.003268,            0.003268,            0.003268
                  36,            0.004066,           0.0033909,             0.01382,             0.82094,             0.87912,             0.92129,             0.92024,           0.0015151,           0.0013632,            0.004647,             0.00307,             0.00307,             0.00307
                  37,           0.0039352,           0.0034527,            0.014054,              0.8342,             0.88762,             0.94285,             0.94285,           0.0013136,           0.0012188,           0.0041283,            0.002872,            0.002872,            0.002872
                  38,           0.0038588,           0.0034483,            0.013344,             0.88712,             0.94856,             0.95869,              0.9573,            0.001328,          0.00090367,           0.0027586,            0.002674,            0.002674,            0.002674
                  39,           0.0039284,            0.003307,            0.013425,             0.85796,             0.91592,             0.95706,             0.94958,           0.0012402,           0.0012103,           0.0033277,            0.002476,            0.002476,            0.002476
                  40,           0.0033688,           0.0030584,            0.012806,             0.89911,             0.94253,             0.96536,             0.95982,           0.0012256,           0.0011626,           0.0027303,            0.002278,            0.002278,            0.002278
                  41,           0.0036208,           0.0031273,            0.012894,              0.8554,             0.88502,             0.93606,             0.93054,           0.0012367,           0.0011261,            0.004031,             0.00208,             0.00208,             0.00208
                  42,           0.0033185,           0.0029479,            0.012278,              0.8894,             0.90841,             0.96244,             0.96181,           0.0011493,           0.0011948,           0.0033611,            0.001882,            0.001882,            0.001882
                  43,           0.0029982,           0.0029467,            0.012617,             0.86118,             0.92609,             0.95483,             0.95371,          0.00092343,           0.0011571,           0.0033148,            0.001684,            0.001684,            0.001684
                  44,           0.0028899,           0.0028772,            0.011615,             0.95475,             0.90353,             0.97573,             0.97496,           0.0010982,           0.0013953,            0.002526,            0.001486,            0.001486,            0.001486
                  45,            0.002729,           0.0028217,            0.011438,             0.94778,             0.91335,             0.97712,             0.97641,          0.00092433,           0.0011617,            0.002242,            0.001288,            0.001288,            0.001288
                  46,           0.0027589,           0.0028587,            0.011978,             0.93765,             0.91282,             0.96652,             0.96276,          0.00095844,            0.001115,           0.0024703,             0.00109,             0.00109,             0.00109
                  47,           0.0025101,           0.0026884,            0.011175,             0.90673,             0.91085,             0.96077,             0.96003,          0.00097843,           0.0013116,           0.0027241,            0.000892,            0.000892,            0.000892
                  48,           0.0023353,           0.0025855,             0.01106,             0.90895,             0.91308,             0.96554,             0.96461,          0.00070759,           0.0011219,           0.0029069,            0.000694,            0.000694,            0.000694
                  49,           0.0022409,           0.0026559,             0.01024,              0.9352,             0.91312,             0.97341,             0.97341,          0.00094144,           0.0010786,           0.0024106,            0.000496,            0.000496,            0.000496
